id,year,quarter,state,count,amount
416,2020,4,bihar,96591673,238905613136.47186
417,2020,4,kerala,33288187,56755256647.011795
418,2020,4,karnataka,431536984,658036698565.0032
419,2020,4,chandigarh,2912716,6146762901.349345
420,2020,4,telangana,343643787,696350439226.9453
421,2020,4,himachal pradesh,7272328,13989053108.813015
422,2020,4,west bengal,100340645,199165491365.6468
423,2020,4,gujarat,77828547,148393060112.4366
424,2020,4,sikkim,735035,1919275805.122922
425,2020,4,nagaland,847825,2773084870.5627017
426,2020,4,mizoram,322607,986522115.6939572
427,2020,4,chhattisgarh,35529636,62214974283.94806
428,2020,4,jammu & kashmir,5754444,15380905803.378227
429,2020,4,goa,3801381,6899792747.579928
430,2020,4,arunachal pradesh,1209129,3570264021.8456187
431,2020,4,delhi,120540417,216265088224.5436
432,2020,4,uttarakhand,17613271,31792739329.110085
433,2021,1,puducherry,3309432,5899309571.743641
434,2021,1,tamil nadu,136556674,248668143873.65317
435,2021,1,uttar pradesh,204499547,396287587577.5575
436,2021,1,madhya pradesh,201998498,343533954382.3015
437,2021,1,andhra pradesh,289747970,672444670176.5881
438,2021,1,tripura,1511423,3335341569.793424
439,2021,1,lakshadweep,9085,27042782.914081153
440,2021,1,manipur,2303535,7070287514.479244
441,2021,1,maharashtra,517860240,769887352153.2483
442,2021,1,dadra & nagar haveli & daman & diu,1925244,2965632911.1935043
443,2021,1,meghalaya,747646,2055515277.9898345
444,2021,1,andaman & nicobar islands,244752,783706567.3897561
445,2021,1,haryana,90252784,168938301082.4288
446,2021,1,rajasthan,252730919,491492581657.63354
447,2021,1,ladakh,275415,983419813.2468786
448,2021,1,punjab,26770835,58690887091.106735
449,2021,1,assam,19512060,51326464546.12217
450,2021,1,jharkhand,44621663,83749353123.13824
451,2021,1,odisha,111460358,213397736188.33783
452,2021,1,bihar,114932477,280973649701.2259
453,2021,1,kerala,42316342,69260970161.89497
454,2021,1,karnataka,523797492,754995357412.3948
455,2021,1,chandigarh,3970237,7596420859.545994
456,2021,1,telangana,412572110,799359264046.5657
457,2021,1,himachal pradesh,7614029,14120546909.487547
458,2021,1,west bengal,118254052,242937207475.5198
459,2021,1,gujarat,94774565,183700780713.44968
460,2021,1,sikkim,800189,2217667726.8407273
461,2021,1,nagaland,975897,3107450484.613187
462,2021,1,mizoram,329575,1101105586.9459367
463,2021,1,chhattisgarh,39436437,69409843261.55008
464,2021,1,jammu & kashmir,6997570,17138349893.151793
465,2021,1,goa,5331549,9757242879.021431
466,2021,1,arunachal pradesh,1177456,3813779079.0166435
467,2021,1,delhi,157359004,266928345043.49225
468,2021,1,uttarakhand,20608402,36288189399.89833
469,2021,2,puducherry,3751387,6498834696.543897
470,2021,2,tamil nadu,146158442,263487341026.54623
471,2021,2,uttar pradesh,241949131,482172489166.39343
472,2021,2,madhya pradesh,223314680,425500768035.631
473,2021,2,andhra pradesh,352767134,850737499108.2986
474,2021,2,tripura,1744429,3468154361.036266
475,2021,2,lakshadweep,11384,27383463.657951534
476,2021,2,manipur,3086275,7889827962.396657
477,2021,2,maharashtra,573616486,915115055623.7152
478,2021,2,dadra & nagar haveli & daman & diu,2125083,3157668461.418905
479,2021,2,meghalaya,909594,2193617254.8905916
480,2021,2,andaman & nicobar islands,341414,899147016.1122956
481,2021,2,haryana,105680856,200357354238.6818
482,2021,2,rajasthan,287477039,561702765169.2324
483,2021,2,ladakh,399716,1427259095.4703174
484,2021,2,punjab,32171248,69531058562.6159
485,2021,2,assam,25432905,59192473376.66449
486,2021,2,jharkhand,54002145,104432643311.45735
487,2021,2,odisha,131824337,245864117477.27853
488,2021,2,bihar,155603622,374580255186.58875
489,2021,2,kerala,47191033,74226806436.15614
490,2021,2,karnataka,530649046,837887151230.051
491,2021,2,chandigarh,4417547,8417673939.9361
492,2021,2,telangana,495867544,1027958332797.5902
493,2021,2,himachal pradesh,9483902,16495634539.809265
494,2021,2,west bengal,141897437,279434811058.5615
495,2021,2,gujarat,111841396,210162054552.1156
496,2021,2,sikkim,976714,2424899579.6753
497,2021,2,nagaland,1130791,3156293963.781851
498,2021,2,mizoram,394340,1122874473.3020918
499,2021,2,chhattisgarh,44689420,78728771259.22594
500,2021,2,jammu & kashmir,10027819,22813755428.591625
501,2021,2,goa,4710135,8012853587.075999
502,2021,2,arunachal pradesh,1568338,4456425616.994377
503,2021,2,delhi,170157264,281941097684.5416
