id,year,quarter,state,registered_users,app_opens
332,2020,2,manipur,215496,3011491
333,2020,2,maharashtra,28765086,506354812
334,2020,2,dadra & nagar haveli & daman & diu,244814,4505127
335,2020,2,meghalaya,136211,2205253
336,2020,2,andaman & nicobar islands,32710,305072
337,2020,2,haryana,7682878,143650123
338,2020,2,rajasthan,13563201,329941181
339,2020,2,ladakh,53034,695673
340,2020,2,punjab,4225481,51289576
341,2020,2,assam,2550883,39304924
342,2020,2,jharkhand,4061035,76339276
343,2020,2,odisha,7258315,154682772
344,2020,2,bihar,10603767,218435035
345,2020,2,kerala,4728844,45832953
346,2020,2,karnataka,18655366,490510075
347,2020,2,chandigarh,336351,3451250
348,2020,2,telangana,13378191,367130505
349,2020,2,himachal pradesh,1249867,16125580
350,2020,2,west bengal,13222022,198589332
351,2020,2,gujarat,11392657,155264359
352,2020,2,sikkim,119921,1912335
353,2020,2,nagaland,130205,2119279
354,2020,2,mizoram,55574,739308
355,2020,2,chhattisgarh,3401658,68493384
356,2020,2,jammu & kashmir,845294,9856653
357,2020,2,goa,430639,5310126
358,2020,2,arunachal pradesh,177534,3387006
359,2020,2,delhi,8391139,142852253
360,2020,2,uttarakhand,2148567,31074793
361,2020,3,puducherry,285173,4222159
362,2020,3,tamil nadu,13643451,194683284
363,2020,3,uttar pradesh,24838116,450784508
364,2020,3,madhya pradesh,12564224,324850994
365,2020,3,andhra pradesh,15692405,696300382
366,2020,3,tripura,376731,5777908
367,2020,3,lakshadweep,3644,32128
368,2020,3,manipur,258563,3552375
369,2020,3,maharashtra,31409513,668197101
370,2020,3,dadra & nagar haveli & daman & diu,267946,4421499
371,2020,3,meghalaya,157741,2384534
372,2020,3,andaman & nicobar islands,41335,515565
373,2020,3,haryana,8398816,188614769
374,2020,3,rajasthan,14969412,436682870
375,2020,3,ladakh,58401,1015680
376,2020,3,punjab,4694233,58946732
377,2020,3,assam,2830011,41875278
378,2020,3,jharkhand,4480027,99318784
379,2020,3,odisha,7901755,205597666
380,2020,3,bihar,11763213,266652644
381,2020,3,kerala,5582300,64309022
382,2020,3,karnataka,20487550,693683212
383,2020,3,chandigarh,362588,4888739
384,2020,3,telangana,14590882,527781925
385,2020,3,himachal pradesh,1378634,18411750
386,2020,3,west bengal,14448366,246554831
387,2020,3,gujarat,12467847,184402472
388,2020,3,sikkim,134773,2156470
389,2020,3,nagaland,173106,2868642
390,2020,3,mizoram,68315,924865
391,2020,3,chhattisgarh,3799386,86918606
392,2020,3,jammu & kashmir,949819,11443454
393,2020,3,goa,474962,6129766
394,2020,3,arunachal pradesh,206046,4003421
395,2020,3,delhi,9044174,190025029
396,2020,3,uttarakhand,2365438,40377348
397,2020,4,puducherry,319626,6377136
398,2020,4,tamil nadu,15357586,288233552
399,2020,4,uttar pradesh,27249134,552220798
400,2020,4,madhya pradesh,13737947,405571446
401,2020,4,andhra pradesh,17076565,869078538
402,2020,4,tripura,409110,6017249
403,2020,4,lakshadweep,4179,41144
404,2020,4,manipur,288772,3783432
405,2020,4,maharashtra,34432631,952006770
406,2020,4,dadra & nagar haveli & daman & diu,296493,6196436
407,2020,4,meghalaya,176447,2745917
408,2020,4,andaman & nicobar islands,52396,887208
409,2020,4,haryana,9129873,236101307
410,2020,4,rajasthan,16329494,511015109
411,2020,4,ladakh,64853,1232757
412,2020,4,punjab,5157868,71191183
413,2020,4,assam,3106153,49321814
414,2020,4,jharkhand,4917938,126310835
415,2020,4,odisha,8598751,270085293
416,2020,4,bihar,12889833,317056600
417,2020,4,kerala,6387169,91415273
418,2020,4,karnataka,22400182,935510690
419,2020,4,chandigarh,391402,6477974
420,2020,4,telangana,15927797,764614235
421,2020,4,himachal pradesh,1508766,22001148
422,2020,4,west bengal,15662093,291721919
423,2020,4,gujarat,13605203,230497353
424,2020,4,sikkim,148543,2478670
425,2020,4,nagaland,192188,2922121
426,2020,4,mizoram,78731,1096182
427,2020,4,chhattisgarh,4190601,109900467
428,2020,4,jammu & kashmir,1079022,16018751
429,2020,4,goa,527584,10991118
430,2020,4,arunachal pradesh,231292,4472667
431,2020,4,delhi,9747968,243433752
432,2020,4,uttarakhand,2596244,52564888
433,2021,1,puducherry,346279,7914507
434,2021,1,tamil nadu,16632608,348801714
435,2021,1,uttar pradesh,29482075,639718324
436,2021,1,madhya pradesh,14839427,482500276
437,2021,1,andhra pradesh,18363733,957709447
438,2021,1,tripura,439636,6009660
439,2021,1,lakshadweep,4577,47283
440,2021,1,manipur,312668,3709227
441,2021,1,maharashtra,37077537,1101976484
442,2021,1,dadra & nagar haveli & daman & diu,321396,7302462
443,2021,1,meghalaya,190869,2939026
444,2021,1,andaman & nicobar islands,57758,1004336
445,2021,1,haryana,9827905,266686683
446,2021,1,rajasthan,17661088,632535059
447,2021,1,ladakh,69919,1184204
448,2021,1,punjab,5568777,81052268
449,2021,1,assam,3358448,56752364
450,2021,1,jharkhand,5313049,141731331
451,2021,1,odisha,9233009,301315474
452,2021,1,bihar,13946288,355792608
453,2021,1,kerala,6936943,108918733
454,2021,1,karnataka,24095832,1084917385
455,2021,1,chandigarh,419998,7919533
456,2021,1,telangana,17149069,920040042
457,2021,1,himachal pradesh,1622951,24228094
458,2021,1,west bengal,16808799,316832674
459,2021,1,gujarat,14670126,264732874
460,2021,1,sikkim,160213,2795331
461,2021,1,nagaland,207808,2980581
462,2021,1,mizoram,85750,1193214
463,2021,1,chhattisgarh,4514551,124648704
464,2021,1,jammu & kashmir,1174818,18834009
465,2021,1,goa,570035,15467672
466,2021,1,arunachal pradesh,251240,4796708
467,2021,1,delhi,10467210,281201600
468,2021,1,uttarakhand,2802122,59282260
469,2021,2,puducherry,369961,5178916
470,2021,2,tamil nadu,17804542,343968474
471,2021,2,uttar pradesh,31651894,673598864
472,2021,2,madhya pradesh,15940935,727741649
473,2021,2,andhra pradesh,19620905,1044705436
474,2021,2,tripura,472153,9500881
475,2021,2,lakshadweep,4896,40301
476,2021,2,manipur,335409,7269002
477,2021,2,maharashtra,39664697,1208083592
478,2021,2,dadra & nagar haveli & daman & diu,344994,5062983
479,2021,2,meghalaya,205686,7290804
480,2021,2,andaman & nicobar islands,62095,2248223
481,2021,2,haryana,10530594,234052506
482,2021,2,rajasthan,18980985,1072091232
483,2021,2,ladakh,75048,4391632
484,2021,2,punjab,5976548,85894089
485,2021,2,assam,3617056,102003890
486,2021,2,jharkhand,5701503,184234107
487,2021,2,odisha,9891029,367576494
488,2021,2,bihar,14972134,371198660
489,2021,2,kerala,7416083,87814415
490,2021,2,karnataka,25751023,1051089714
491,2021,2,chandigarh,448572,4733924
492,2021,2,telangana,18306880,905317692
493,2021,2,himachal pradesh,1743151,43269977
494,2021,2,west bengal,17979979,275341466
495,2021,2,gujarat,15735981,282432543
496,2021,2,sikkim,171740,4541121
497,2021,2,nagaland,223337,6716892
498,2021,2,mizoram,92552,4014597
499,2021,2,chhattisgarh,4837055,205784717
500,2021,2,jammu & kashmir,1261267,34274559
501,2021,2,goa,609106,12710361
502,2021,2,arunachal pradesh,270572,13025849
503,2021,2,delhi,11182699,164997774
504,2021,2,uttarakhand,3004040,78380036
505,2021,3,puducherry,396609,6899592
506,2021,3,tamil nadu,19127440,459826734
507,2021,3,uttar pradesh,34151882,803890116
508,2021,3,madhya pradesh,17210233,929572924
509,2021,3,andhra pradesh,21059898,1258536879
510,2021,3,tripura,509929,12279146
511,2021,3,lakshadweep,5287,49127
512,2021,3,manipur,361749,9743772
513,2021,3,maharashtra,42581217,1565370852
514,2021,3,dadra & nagar haveli & daman & diu,371874,7162734
515,2021,3,meghalaya,223065,9952956
516,2021,3,andaman & nicobar islands,66982,3121625
517,2021,3,haryana,11325336,296884105
518,2021,3,rajasthan,20499465,1429553825
519,2021,3,ladakh,81210,7099550
520,2021,3,punjab,6434862,107614155
521,2021,3,assam,3918480,135288631
522,2021,3,jharkhand,6151843,230475998
523,2021,3,odisha,10652490,492879704
524,2021,3,bihar,16160771,421801379
525,2021,3,kerala,7949425,116282717
526,2021,3,karnataka,27614221,1366781087
527,2021,3,chandigarh,480463,6378807
528,2021,3,telangana,19615278,1107529197
529,2021,3,himachal pradesh,1880626,52970288
530,2021,3,west bengal,19323278,348588666
531,2021,3,gujarat,16946761,379987151
532,2021,3,sikkim,184693,5714565
533,2021,3,nagaland,241797,8661991
534,2021,3,mizoram,100647,5385718
535,2021,3,chhattisgarh,5206084,276486076
536,2021,3,jammu & kashmir,1359860,45025197
537,2021,3,goa,653458,16575111
538,2021,3,arunachal pradesh,293073,17209654
539,2021,3,delhi,11980061,223844376
540,2021,3,uttarakhand,3233509,90886530
541,2021,4,puducherry,423167,14257568
542,2021,4,tamil nadu,20433142,685861440
543,2021,4,uttar pradesh,36617655,1175923794
544,2021,4,madhya pradesh,18456243,956630781
545,2021,4,andhra pradesh,22489029,1447717601
546,2021,4,tripura,546292,10728702
547,2021,4,lakshadweep,5638,67320
548,2021,4,manipur,387746,7603294
549,2021,4,maharashtra,45482506,2031739248
550,2021,4,dadra & nagar haveli & daman & diu,398963,15009455
551,2021,4,meghalaya,240268,6048594
552,2021,4,andaman & nicobar islands,71780,2112910
553,2021,4,haryana,12116439,442176987
554,2021,4,rajasthan,21977202,1185124031
555,2021,4,ladakh,87057,2665203
556,2021,4,punjab,6880103,138427499
557,2021,4,assam,4209591,130600435
558,2021,4,jharkhand,6596196,284960009
559,2021,4,odisha,11399235,567351446
560,2021,4,bihar,17335981,647400838
561,2021,4,kerala,8473810,213542857
562,2021,4,karnataka,29459646,1941558513
563,2021,4,chandigarh,512092,11603954
564,2021,4,telangana,20917649,1407599392
565,2021,4,himachal pradesh,2013747,47670982
566,2021,4,west bengal,20644527,512335839
567,2021,4,gujarat,18139201,487846209
568,2021,4,sikkim,197407,5525552
569,2021,4,nagaland,259990,6383337
570,2021,4,mizoram,108405,2094118
571,2021,4,chhattisgarh,5565481,251752583
572,2021,4,jammu & kashmir,1456810,36012148
573,2021,4,goa,697178,28288254
574,2021,4,arunachal pradesh,314944,11230295
575,2021,4,delhi,12785127,345669353
576,2021,4,uttarakhand,3460015,110928354
577,2022,1,puducherry,448051,3938657
578,2022,1,tamil nadu,21667020,638490275
579,2022,1,uttar pradesh,38999692,836926025
580,2022,1,madhya pradesh,19656147,1678266475
581,2022,1,andhra pradesh,23857951,1254785973
582,2022,1,tripura,582124,19322963
583,2022,1,lakshadweep,5990,45410
584,2022,1,manipur,411900,22637747
585,2022,1,maharashtra,48227630,2157769514
586,2022,1,dadra & nagar haveli & daman & diu,424570,3910792
587,2022,1,meghalaya,255839,23634106
588,2022,1,andaman & nicobar islands,76288,3847407
589,2022,1,haryana,12866988,217228467
590,2022,1,rajasthan,23398857,2570606469
591,2022,1,ladakh,92492,8902080
592,2022,1,punjab,7302726,117482807
593,2022,1,assam,4492589,281642453
